lon,lat,degree,betweenness
32.70542,38.17056,3,1004393.0
32.39478,38.175,3,1087700.0
31.25593,38.17977,3,132129.0
33.15572,38.18401,4,17941.0
33.97948,38.38111,3,13995.0
37.19748,38.19789,5,13630.0
37.9075,38.36471,3,10929.0
34.47267,38.22401,3,6299.0
30.50398,38.23457,3,52948.0
31.58933,38.26745,3,45136.0
38.02796,38.26905,3,19167.0
10.23012,45.53181,5,60635.0
10.34829,45.4963,2,53217.0
12.87913,45.7272,2,3672.0
12.73126,45.67995,1,0.0
11.19689,46.19621,2,18340.0
11.35456,46.46156,3,2345628.0
11.68236,46.68415,2,2335046.0
11.67669,46.7658,3,2816985.0
12.00351,46.7588,2,2810611.0
12.47094,46.71393,2,2810251.0
12.82328,46.81089,2,2809895.0
13.03373,46.74104,3,2810078.0
13.49758,46.80256,4,2225019.0
13.92433,46.60272,4,2173841.0
14.21259,46.61452,3,2171191.0
13.39501,45.74863,3,557690.0
13.26185,46.12472,3,556112.0
13.1808,46.23887,3,574067.0
13.17544,46.34726,3,574721.0
13.64529,46.47216,3,5219.0
13.72864,46.50939,3,9400.0
13.04355,46.63569,3,584365.0
12.28559,45.80659,2,7342.0
12.33104,45.70661,2,3672.0
12.45763,45.51895,1,0.0
11.93295,46.00595,3,14679.0
13.42205,45.73685,3,554594.0
13.67601,45.7432,3,549168.0
13.89672,45.60605,4,536714.0
13.82779,45.6126,3,551412.0
13.80835,45.50385,3,15271.0
13.74085,45.36084,5,16855.0
13.51682,45.85559,3,15109.0
13.60349,45.88027,3,13120.0
8.96142,47.58673,4,614395.0
9.64818,47.43316,3,615520.0
9.73669,47.47932,3,641226.0
10.34536,47.72877,4,644823.0
10.69512,47.55048,3,10121.0
10.74946,47.47346,2,9056.0
10.68876,47.10198,3,12891.0
10.529,46.91797,3,2346016.0
10.56711,46.78227,2,2334742.0
10.89851,47.81469,3,452635.0
10.9308,47.88964,4,566579.0
11.11785,47.86768,4,149503.0
11.39203,48.05736,3,462203.0
11.59079,47.98163,3,460787.0
12.1487,47.85462,4,379144.0
12.4737,47.91578,2,378578.0
12.94301,47.81966,2,378219.0
13.10462,47.78305,3,377964.0
9.44547,46.14941,3,2608186.0
9.42007,46.30806,3,2608753.0
9.68606,46.35171,3,2320593.0
9.80546,46.4451,3,2341768.0
9.689,46.45622,3,21670.0
9.53241,46.83422,3,302828.0
9.45353,46.80333,3,307797.0
9.43532,46.5462,2,287262.0
9.52336,47.14509,3,281924.0
8.82937,47.96979,3,142340.0
8.96615,47.97089,3,145828.0
10.35718,47.74515,3,77104.0
10.71246,47.81297,2,564693.0
11.1709,47.53295,3,479273.0
11.41511,47.23898,3,480545.0
11.42258,47.19153,2,482677.0
11.49325,47.07179,2,484853.0
13.75325,47.08111,3,417949.0
14.03242,47.06391,3,413006.0
14.10805,46.89883,3,363052.0
13.51412,47.3661,3,375552.0
13.23981,47.50687,2,372989.0
13.78425,45.10003,3,3672.0
14.20067,45.21447,2,2974.0
15.23999,44.12126,3,5898.0
15.29565,44.11118,3,2912.0
15.5935,44.04407,3,17852.0
15.69413,44.02448,4,24386.0
15.6723,44.0954,3,21068.0
15.96119,43.99822,3,126224.0
15.99999,44.01668,2,116295.0
15.80512,44.09879,3,116988.0
15.69162,44.19572,3,139553.0
15.69408,44.37462,3,143435.0
15.55429,44.23889,3,6660.0
15.47079,44.60658,4,150351.0
15.29608,44.8314,3,147007.0
15.29663,45.17966,3,3687.0
14.92547,45.00767,4,156808.0
15.77646,43.82595,3,3672.0
15.84843,43.85619,3,13964.0
16.01967,43.66878,3,9929.0
16.26561,43.53459,2,7006.0
16.50416,43.54175,3,8514.0
16.5573,43.58173,3,116377.0
16.62414,43.61802,3,117739.0
16.83182,43.83961,3,28636.0
17.201,43.87168,3,26988.0
17.23733,43.82112,3,22579.0
17.22766,43.8054,3,19049.0
17.09857,43.63538,3,11870.0
16.74158,43.6287,3,116008.0
16.99252,43.51514,3,101770.0
17.2226,43.41446,3,103563.0
17.53383,43.21313,3,97074.0
17.63347,43.06433,4,24362.0
17.70805,43.11082,3,76503.0
17.90195,43.1446,3,75686.0
18.11942,43.20577,3,19971.0
18.24104,43.84981,3,436789.0
18.28662,43.83914,3,444368.0
18.47173,43.85948,3,443366.0
18.73103,43.76795,3,439908.0
18.76212,43.92748,3,2672.0
18.93603,43.79289,3,76486.0
19.07377,44.20082,3,4857.0
17.6821,44.22529,4,433177.0
17.74964,44.17945,4,444784.0
18.08699,43.95499,3,439770.0
18.18856,43.98816,3,8672.0
17.57866,44.27058,3,406509.0
17.74598,44.25851,3,10524.0
17.87313,44.24094,3,9430.0
17.91179,44.20334,3,8009.0
16.0278,43.9758,3,125548.0
16.20411,44.03083,3,15329.0
16.35967,44.20446,3,32688.0
16.4086,44.53288,3,434907.0
16.63469,44.56313,3,421227.0
16.66549,44.78658,3,7095.0
16.70817,45.13005,2,5586.0
16.74652,45.21706,3,22361.0
16.82536,45.20216,3,15977.0
17.25026,45.13984,3,15603.0
17.73199,45.16423,4,48449.0
18.06904,45.18052,3,35618.0
18.16183,45.15758,3,26023.0
18.53412,45.10834,4,23406.0
18.80574,45.26075,4,2425592.0
18.85089,44.92897,3,20967.0
18.52008,45.26109,3,78376.0
18.40457,45.00644,3,0.0
16.19084,43.925,3,109249.0
17.81715,42.8408,3,21542.0
17.90717,42.80159,3,18087.0
18.19148,42.64482,3,14924.0
18.23656,42.62845,3,14433.0
